index,features,importance,cum_imp
688,PlotType_DIJX,0.0019661895719219336,0.7369261083553036
978,State_TX,0.0019435238942222507,0.7388696322495258
385,Agency_OTHER,0.0019166952383752973,0.7407863274879012
383,Agency_CAT2,0.001911340424886116,0.7426976679127874
985,State_OK,0.0018741350628625351,0.7445718029756498
314,Material_NYFD,0.001867692414460297,0.7464394953901101
11,InteriorsStyle_T67A,0.0018439935099420965,0.7482834889000523
737,SubModel_IAQO,0.001796541137616616,0.7500800300376689
316,Material_IKAF,0.0017849090133723242,0.7518649390510412
311,Material_PRN0,0.0017340405012506992,0.7535989795522919
518,InsurancePremiumIndex_1974,0.0017193092882707372,0.7553182888405626
1020,RegionType_A,0.0017029032314193895,0.757021192071982
424,Zip_92337,0.001562573230594359,0.7585837653025764
15,InteriorsStyle_RZ14,0.0015286326735751243,0.7601123979761516
528,InsurancePremiumIndex_1703,0.001524691705950619,0.7616370896821022
317,Material_HE5A,0.0014123290132821923,0.7630494186953843
519,InsurancePremiumIndex_2152,0.0014107072491104204,0.7644601259444948
700,Architecture_AVYP,0.0014053744473340173,0.7658655003918288
981,State_NC,0.0013939969781752589,0.767259497370004
964,Facade_BLUE,0.001382135776957813,0.7686416331469618
400,Zip_85040,0.0013662216622742107,0.770007854809236
704,Architecture_RZOR,0.0013510044572347764,0.7713588592664707
1,InteriorsStyle_RCQE,0.0013493590945783266,0.7727082183610491
433,Zip_85284,0.0013489447501996157,0.7740571631112487
5,InteriorsStyle_YBQJ,0.0013259268348256377,0.7753830899460744
724,Region_A,0.0013213412958398736,0.7767044312419142
396,Zip_75236,0.0012933402258951065,0.7779977714678094
406,Zip_75050,0.0012887648773431452,0.7792865363451525
725,Region_B,0.0012784723217129433,0.7805650086668655
16,InteriorsStyle_J20T,0.0012637260452943175,0.7818287347121599
962,Facade_SILVER,0.0012426622798788081,0.7830713969920386
963,Facade_WHITE,0.0012101413181644402,0.7842815383102031
728,SubModel_UA42,0.0011975630420375397,0.7854791013522406
982,State_AZ,0.0011823548674326743,0.7866614562196733
980,State_CA,0.0011717974005044313,0.7878332536201778
517,InsurancePremiumIndex_920,0.0011668921798288487,0.7890001458000065
76,InteriorsStyle_APX3,0.0011510535006162728,0.7901511993006228
399,Zip_85226,0.0011452639781698406,0.7912964632787927
690,PlotType_DSSM,0.0011449124750682084,0.7924413757538609
6,InteriorsStyle_DUFA,0.0011373820847445082,0.7935787578386053
966,Facade_BLACK,0.0011312835401776045,0.7947100413787829
1022,RegionType_C,0.0011195987281375245,0.7958296401069204
1021,RegionType_B,0.001115234747606973,0.7969448748545274
968,Facade_GOLD,0.0011032809664616098,0.798048155820989
689,PlotType_WLQ6,0.0010959264338174307,0.7991440822548064
607,InsurancePremiumIndex_1930,0.0010939324398623702,0.8002380146946687
395,Zip_27542,0.001084749100159705,0.8013227637948284
329,Material_1PUV,0.0010604588844919025,0.8023832226793203
401,Zip_29697,0.0010543522970523891,0.8034375749763727
701,Architecture_1M5X,0.0010482184994278448,0.8044857934758005
445,Zip_37771,0.0010425545994401796,0.8055283480752407
706,Architecture_K92H,0.0010415975420262449,0.8065699456172669
965,Facade_GREY,0.0010267937931428106,0.8075967394104098
983,State_CO,0.001022392664386645,0.8086191320747964
691,PlotType_DJOP,0.0010223671245185233,0.8096414991993149
414,Zip_28625,0.0010201390884458273,0.8106616382877607
815,SubModel_OG0M,0.0010105127864892501,0.81167215107425
694,PlotType_V5R0,0.0009917732141161001,0.8126639242883661
738,SubModel_UTUM,0.0009916311321432165,0.8136555554205093
416,Zip_91752,0.0009902584079388489,0.8146458138284481
410,Zip_80011,0.0009831202399489128,0.8156289340683971
403,Zip_28273,0.0009412577805079088,0.816570191848905
